iter	Passed	Remaining
0	170	170008
1	174	86989
2	176	58623
3	177	44297
4	179	35673
5	180	29900
6	181	25739
7	182	22625
8	183	20200
9	184	18274
10	187	16901
11	190	15672
12	191	14562
13	192	13584
14	194	12743
15	195	11997
16	196	11340
17	197	10753
18	198	10243
19	199	9780
20	202	9462
21	204	9098
22	205	8740
23	207	8419
24	208	8118
25	209	7841
26	210	7587
27	211	7346
28	213	7134
29	215	6977
30	217	6790
31	218	6605
32	219	6430
33	220	6263
34	221	6111
35	222	5970
36	224	5832
37	225	5708
38	226	5583
39	227	5464
40	228	5352
41	232	5297
42	234	5208
43	234	5105
44	236	5008
45	237	4916
46	238	4835
47	239	4753
48	240	4673
49	242	4601
50	243	4527
51	246	4487
52	248	4443
53	249	4376
54	251	4319
55	252	4259
56	253	4199
57	255	4145
58	258	4122
59	260	4074
60	261	4024
61	263	3990
62	265	3948
63	267	3915
64	269	3871
65	270	3827
66	271	3782
67	272	3738
68	273	3695
69	276	3673
70	278	3642
71	279	3602
72	280	3561
73	281	3522
74	282	3483
75	283	3448
76	286	3436
77	288	3409
78	293	3418
79	296	3407
80	297	3376
81	298	3346
82	299	3309
83	301	3284
84	302	3260
85	304	3234
86	306	3211
87	308	3193
88	309	3171
89	311	3144
90	312	3118
91	314	3099
92	315	3081
93	317	3057
94	320	3049
95	321	3028
96	323	3014
97	325	2999
98	327	2980
99	328	2959
100	329	2937
101	331	2915
102	332	2893
103	333	2872
104	336	2867
105	338	2853
106	342	2860
107	345	2853
108	347	2838
109	351	2844
110	355	2845
111	357	2837
112	359	2820
113	360	2802
114	362	2786
115	367	2799
116	369	2791
117	374	2797
118	376	2790
119	380	2786
120	382	2775
121	383	2760
122	385	2745
123	387	2737
124	389	2723
125	390	2707
126	391	2689
127	392	2674
128	393	2660
129	395	2645
130	397	2635
131	398	2623
132	400	2609
133	401	2594
134	402	2580
135	404	2568
136	405	2554
137	406	2541
138	409	2535
139	411	2524
140	412	2514
141	413	2498
142	414	2485
143	415	2471
144	416	2458
145	418	2445
146	419	2432
147	420	2419
148	421	2407
149	422	2394
150	424	2384
151	425	2373
152	427	2364
153	428	2353
154	429	2341
155	430	2328
156	431	2316
157	432	2304
158	433	2292
159	434	2282
160	435	2268
161	436	2257
162	437	2246
163	438	2236
164	441	2236
165	443	2227
166	444	2217
167	445	2207
168	446	2196
169	447	2186
170	448	2175
171	449	2165
172	450	2155
173	452	2146
174	455	2147
175	457	2141
176	459	2138
177	461	2129
178	462	2121
179	463	2112
180	464	2103
181	465	2093
182	467	2084
183	482	2141
184	484	2132
185	485	2124
186	486	2115
187	488	2109
188	489	2101
189	491	2093
190	492	2084
191	493	2074
192	494	2065
193	495	2056
194	496	2048
195	497	2039
196	498	2030
197	499	2022
198	501	2017
199	503	2013
200	504	2007
201	506	1998
202	506	1990
203	508	1982
204	509	1974
205	510	1966
206	511	1958
207	512	1950
208	513	1942
209	514	1934
210	515	1928
211	516	1920
212	518	1914
213	520	1910
214	521	1904
215	522	1896
216	523	1889
217	524	1882
218	525	1874
219	526	1867
220	527	1860
221	528	1853
222	529	1846
223	531	1840
224	532	1834
225	533	1828
226	534	1821
227	535	1814
228	536	1807
229	537	1800
230	538	1793
231	539	1786
232	540	1780
233	541	1773
234	542	1766
235	543	1760
236	544	1753
237	546	1748
238	547	1742
239	548	1737
240	549	1730
241	550	1725
242	551	1719
243	552	1713
244	553	1707
245	555	1701
246	556	1695
247	557	1689
248	558	1683
249	559	1677
250	560	1671
251	561	1666
252	562	1662
253	564	1658
254	565	1652
255	566	1646
256	567	1641
257	568	1636
258	569	1630
259	571	1625
260	572	1620
261	573	1615
262	574	1609
263	575	1604
264	576	1600
265	578	1596
266	579	1591
267	580	1585
268	581	1580
269	582	1575
270	583	1569
271	584	1564
272	585	1559
273	586	1554
274	587	1548
275	588	1543
276	589	1538
277	592	1538
278	594	1536
279	595	1532
280	597	1528
281	598	1524
282	600	1520
283	601	1516
284	603	1513
285	604	1509
286	605	1504
287	607	1501
288	608	1498
289	610	1494
290	611	1489
291	612	1484
292	613	1479
293	614	1474
294	615	1470
295	616	1465
296	617	1460
297	618	1456
298	619	1452
299	620	1447
300	621	1443
301	622	1439
302	623	1434
303	624	1430
304	625	1425
305	626	1421
306	627	1417
307	629	1413
308	630	1409
309	631	1405
310	632	1400
311	633	1396
312	634	1392
313	635	1388
314	636	1383
315	637	1380
316	639	1376
317	640	1372
318	641	1368
319	641	1364
320	642	1359
321	643	1355
322	645	1351
